DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,XGB,MODEL_TYPE,ET,ADA,FORECAST,RUN_DATE
2024-07-03,BOVA11.SA,3,2,1,7,3,2024,121.33,121.08,120.93,121.0,XGBRegressor,,,121.0,2024-07-05
2024-07-04,BOVA11.SA,4,3,1,7,3,2024,120.99568176269531,121.33,121.13522725423176,120.91,XGBRegressor,,,120.91,2024-07-05
2024-07-05,BOVA11.SA,5,4,1,7,3,2024,120.91020202636719,120.99568176269531,121.0786279296875,120.7,XGBRegressor,,,120.7,2024-07-05
2024-07-08,BOVA11.SA,8,0,2,7,3,2024,120.69728088378906,120.91020202636719,120.86771392822266,120.66,XGBRegressor,,,120.66,2024-07-05
2024-07-09,BOVA11.SA,9,1,2,7,3,2024,120.66332244873047,120.69728088378906,120.7569351196289,120.57,XGBRegressor,,,120.57,2024-07-05
2024-07-10,BOVA11.SA,10,2,2,7,3,2024,120.5743637084961,120.66332244873047,120.64498901367188,120.59,XGBRegressor,,,120.59,2024-07-05
2024-07-03,BOVA11.SA,3,2,1,7,3,2024,121.33,121.08,120.93,,ExtraTreesRegressor,120.5,,120.5,2024-07-05
2024-07-04,BOVA11.SA,4,3,1,7,3,2024,120.5009048913145,121.33,120.97030163043816,,ExtraTreesRegressor,120.13,,120.13,2024-07-05
2024-07-05,BOVA11.SA,5,4,1,7,3,2024,120.12575215898453,120.5009048913145,120.65221901676635,,ExtraTreesRegressor,119.9,,119.9,2024-07-05
2024-07-08,BOVA11.SA,8,0,2,7,3,2024,119.89906082834186,120.12575215898453,120.17523929288029,,ExtraTreesRegressor,119.55,,119.55,2024-07-05
2024-07-09,BOVA11.SA,9,1,2,7,3,2024,119.54917831527534,119.89906082834186,119.85799710086724,,ExtraTreesRegressor,118.84,,118.84,2024-07-05
2024-07-10,BOVA11.SA,10,2,2,7,3,2024,118.84222609182775,119.54917831527534,119.43015507848166,,ExtraTreesRegressor,118.5,,118.5,2024-07-05
2024-07-03,BOVA11.SA,3,2,1,7,3,2024,121.33,121.08,120.93,,AdaBoostRegressor,,121.33,121.33,2024-07-05
2024-07-04,BOVA11.SA,4,3,1,7,3,2024,121.33,121.33,121.24666666666667,,AdaBoostRegressor,,121.08,121.08,2024-07-05
2024-07-05,BOVA11.SA,5,4,1,7,3,2024,121.08,121.33,121.24666666666667,,AdaBoostRegressor,,121.08,121.08,2024-07-05
2024-07-08,BOVA11.SA,8,0,2,7,3,2024,121.08,121.08,121.16333333333334,,AdaBoostRegressor,,121.18,121.18,2024-07-05
2024-07-09,BOVA11.SA,9,1,2,7,3,2024,121.18052631578949,121.08,121.11350877192983,,AdaBoostRegressor,,121.18,121.18,2024-07-05
