DATE,TICKER,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,FORECAST,MODEL_TYPE,RUN_DATE
2024-06-03,BOVA11.SA,3,0,1,6,2,2024,118.66,119.12,119.32000000000001,101.63,XGB,2024-05-31
2024-06-04,BOVA11.SA,4,1,1,6,2,2024,101.62747955322266,118.66,107.3049863688151,88.08,XGB,2024-05-31
2024-06-05,BOVA11.SA,5,2,1,6,2,2024,88.08106231689453,101.62747955322266,92.5965347290039,74.01,XGB,2024-05-31
2024-06-06,BOVA11.SA,6,3,1,6,2,2024,74.00713348388672,88.08106231689453,78.69844818115234,66.01,XGB,2024-05-31
2024-06-07,BOVA11.SA,7,4,1,6,2,2024,66.01475524902344,74.00713348388672,68.67887878417969,58.22,XGB,2024-05-31
2024-06-03,BOVA11.SA,3,0,1,6,2,2024,118.66,119.12,119.32000000000001,118.59,ET,2024-05-31
2024-06-04,BOVA11.SA,4,1,1,6,2,2024,118.59254292848354,118.66,118.61502861898903,117.98,ET,2024-05-31
2024-06-05,BOVA11.SA,5,2,1,6,2,2024,117.98373225310232,118.59254292848354,118.18666914489604,117.54,ET,2024-05-31
2024-06-06,BOVA11.SA,6,3,1,6,2,2024,117.53611717373724,117.98373225310232,117.68532220019226,116.98,ET,2024-05-31
2024-06-07,BOVA11.SA,7,4,1,6,2,2024,116.98156699476995,117.53611717373724,117.16641705442571,116.86,ET,2024-05-31
2024-06-03,BCFF11.SA,3,0,1,6,2,2024,8.69,8.64,8.603333333333333,7.41,XGB,2024-05-31
2024-06-04,BCFF11.SA,4,1,1,6,2,2024,7.413132190704346,8.69,7.838754793802896,6.52,XGB,2024-05-31
2024-06-05,BCFF11.SA,5,2,1,6,2,2024,6.520313739776611,7.413132190704346,6.817920207977295,5.61,XGB,2024-05-31
2024-06-06,BCFF11.SA,6,3,1,6,2,2024,5.61447286605835,6.520313739776611,5.916419982910156,4.94,XGB,2024-05-31
2024-06-07,BCFF11.SA,7,4,1,6,2,2024,4.939375400543213,5.61447286605835,5.164407730102539,4.32,XGB,2024-05-31
2024-06-03,BCFF11.SA,3,0,1,6,2,2024,8.69,8.64,8.603333333333333,8.68,ET,2024-05-31
2024-06-04,BCFF11.SA,4,1,1,6,2,2024,8.681740476190475,8.69,8.68449365079365,8.63,ET,2024-05-31
2024-06-05,BCFF11.SA,5,2,1,6,2,2024,8.634515476190476,8.681740476190475,8.650257142857141,8.62,ET,2024-05-31
2024-06-06,BCFF11.SA,6,3,1,6,2,2024,8.616699771062272,8.634515476190476,8.62263833943834,8.66,ET,2024-05-31
2024-06-07,BCFF11.SA,7,4,1,6,2,2024,8.655298431776558,8.616699771062272,8.642432211538463,8.67,ET,2024-05-31
2024-06-03,TAEE4.SA,3,0,1,6,2,2024,11.5,11.62,11.603333333333332,9.88,XGB,2024-05-31
2024-06-04,TAEE4.SA,4,1,1,6,2,2024,9.883810043334961,11.5,10.422540028889975,8.75,XGB,2024-05-31
2024-06-05,TAEE4.SA,5,2,1,6,2,2024,8.749659538269043,9.883810043334961,9.12770938873291,7.7,XGB,2024-05-31
2024-06-06,TAEE4.SA,6,3,1,6,2,2024,7.703799247741699,8.749659538269043,8.05241870880127,6.89,XGB,2024-05-31
2024-06-07,TAEE4.SA,7,4,1,6,2,2024,6.891613006591797,7.703799247741699,7.162342071533203,6.24,XGB,2024-05-31
2024-06-03,TAEE4.SA,3,0,1,6,2,2024,11.5,11.62,11.603333333333332,11.53,ET,2024-05-31
