EVAL_DATE,RUN_DATE,MODEL_NAME,TICKER,MAE,RMSE,MAPE,BIAS,FORECAST,ACTUAL
2024-06-03,2024-05-31,XGB,BOVA11.SA,16.81,16.81,0.142,-0.076,101.63,118.44
2024-06-03,2024-05-31,ET,BOVA11.SA,0.15,0.15,0.001,0.001,118.59,118.44
2024-06-03,2024-05-31,XGB,BCFF11.SA,1.32,1.32,0.151,-0.082,7.41,8.73
2024-06-03,2024-05-31,ET,BCFF11.SA,0.05,0.05,0.006,-0.003,8.68,8.73
2024-06-03,2024-05-31,XGB,TAEE4.SA,1.61,1.61,0.14,-0.075,9.88,11.49
2024-06-03,2024-05-31,ET,TAEE4.SA,0.04,0.04,0.003,0.002,11.53,11.49
2024-06-03,2024-05-31,XGB,EGIE3.SA,8.93,8.93,0.203,-0.113,35.08,44.01
2024-06-03,2024-05-31,ET,EGIE3.SA,0.39,0.39,0.009,-0.004,43.62,44.01
2024-06-03,2024-05-31,XGB,BBSE3.SA,5.02,5.02,0.156,-0.085,27.16,32.18
2024-06-03,2024-05-31,ET,BBSE3.SA,0.19,0.19,0.006,0.003,32.37,32.18
2024-06-03,2024-05-31,XGB,CSMG3.SA,3.41,3.41,0.169,-0.092,16.78,20.19
2024-06-03,2024-05-31,ET,CSMG3.SA,0.03,0.03,0.001,-0.001,20.16,20.19
2024-06-03,2024-05-31,XGB,PETR4.SA,7.48,7.48,0.194,-0.107,31.1,38.58
2024-06-03,2024-05-31,ET,PETR4.SA,0.08,0.08,0.002,-0.001,38.5,38.58
2024-06-03,2024-05-31,XGB,BRSR6.SA,1.99,1.99,0.174,-0.095,9.45,11.44
2024-06-03,2024-05-31,ET,BRSR6.SA,0.5,0.5,0.044,-0.022,10.94,11.44
2024-06-04,2024-06-03,XGB,BOVA11.SA,17.1,17.1,0.145,-0.078,101.06,118.16
2024-06-04,2024-06-03,ET,BOVA11.SA,0.13,0.13,0.001,-0.001,118.03,118.16
2024-06-04,2024-06-03,XGB,BCFF11.SA,1.31,1.31,0.15,-0.081,7.41,8.72
2024-06-04,2024-06-03,ET,BCFF11.SA,0.03,0.03,0.003,-0.002,8.69,8.72
2024-06-04,2024-06-03,XGB,TAEE4.SA,1.59,1.59,0.139,-0.074,9.89,11.48
2024-06-04,2024-06-03,ET,TAEE4.SA,0.03,0.03,0.003,0.001,11.51,11.48
2024-06-04,2024-06-03,XGB,EGIE3.SA,8.96,8.96,0.203,-0.113,35.12,44.08
2024-06-04,2024-06-03,ET,EGIE3.SA,0.09,0.09,0.002,-0.001,43.99,44.08
2024-06-04,2024-06-03,XGB,BBSE3.SA,5.43,5.43,0.167,-0.091,27.16,32.59
2024-06-04,2024-06-03,ET,BBSE3.SA,0.4,0.4,0.012,-0.006,32.19,32.59
2024-06-04,2024-06-03,XGB,CSMG3.SA,3.6,3.6,0.177,-0.097,16.79,20.39
2024-06-04,2024-06-03,ET,CSMG3.SA,0.16,0.16,0.008,-0.004,20.23,20.39
2024-06-04,2024-06-03,XGB,PETR4.SA,7.02,7.02,0.184,-0.101,31.13,38.15
2024-06-04,2024-06-03,ET,PETR4.SA,0.27,0.27,0.007,0.004,38.42,38.15
2024-06-04,2024-06-03,XGB,BRSR6.SA,1.56,1.56,0.138,-0.074,9.75,11.31
2024-06-04,2024-06-03,ET,BRSR6.SA,0.01,0.01,0.001,0.0,11.32,11.31
2024-06-05,2024-06-04,XGB,BOVA11.SA,16.72,16.72,0.142,-0.076,101.18,117.9
2024-06-05,2024-06-04,ET,BOVA11.SA,0.3,0.3,0.003,-0.001,117.6,117.9
