DATE,UNIDADE,QUANTIDADE,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,QUANTIDADE_LAG_1,QUANTIDADE_LAG_2,QUANTIDADE_MA_3
2023-02-04,CO de Araucária,3274.0,4,5,1,2,1,2023,16499.0,7703.0,13147.0
2023-02-06,CO de Araucária,17612.0,6,0,1,2,1,2023,3274.0,16499.0,9158.667
2023-02-07,CO de Araucária,11864.0,7,1,1,2,1,2023,17612.0,3274.0,12461.667
2023-02-08,CO de Araucária,17125.0,8,2,2,2,1,2023,11864.0,17612.0,10916.667
2023-02-09,CO de Araucária,15407.0,9,3,2,2,1,2023,17125.0,11864.0,15533.667
2023-02-10,CO de Araucária,14921.0,10,4,2,2,1,2023,15407.0,17125.0,14798.667
2023-02-11,CO de Araucária,6421.0,11,5,2,2,1,2023,14921.0,15407.0,15817.667
2023-02-13,CO de Araucária,13410.0,13,0,2,2,1,2023,6421.0,14921.0,12249.667
2023-02-14,CO de Araucária,21061.0,14,1,2,2,1,2023,13410.0,6421.0,11584.0
2023-02-15,CO de Araucária,9965.0,15,2,3,2,1,2023,21061.0,13410.0,13630.667
2023-02-16,CO de Araucária,7395.0,16,3,3,2,1,2023,9965.0,21061.0,14812.0
2023-02-17,CO de Araucária,8206.0,17,4,3,2,1,2023,7395.0,9965.0,12807.0
2023-02-18,CO de Araucária,4395.0,18,5,3,2,1,2023,8206.0,7395.0,8522.0
2023-02-20,CO de Araucária,9504.0,20,0,3,2,1,2023,4395.0,8206.0,6665.333
2023-02-22,CO de Araucária,10237.0,22,2,4,2,1,2023,9504.0,4395.0,7368.333
2023-02-23,CO de Araucária,8332.0,23,3,4,2,1,2023,10237.0,9504.0,8045.333
2023-02-24,CO de Araucária,10265.0,24,4,4,2,1,2023,8332.0,10237.0,9357.667
2023-02-25,CO de Araucária,4361.0,25,5,4,2,1,2023,10265.0,8332.0,9611.333
2023-02-27,CO de Araucária,10481.0,27,0,4,2,1,2023,4361.0,10265.0,7652.667
2023-02-28,CO de Araucária,10110.0,28,1,4,2,1,2023,10481.0,4361.0,8369.0
2023-03-01,CO de Araucária,9140.0,1,2,1,3,1,2023,10110.0,10481.0,8317.333
2023-03-02,CO de Araucária,9495.0,2,3,1,3,1,2023,9140.0,10110.0,9910.333
2023-03-03,CO de Araucária,9075.0,3,4,1,3,1,2023,9495.0,9140.0,9581.667
2023-03-04,CO de Araucária,7291.0,4,5,1,3,1,2023,9075.0,9495.0,9236.667
2023-03-06,CO de Araucária,12475.0,6,0,1,3,1,2023,7291.0,9075.0,8620.333
2023-03-07,CO de Araucária,8806.0,7,1,1,3,1,2023,12475.0,7291.0,9613.667
2023-03-08,CO de Araucária,10923.0,8,2,2,3,1,2023,8806.0,12475.0,9524.0
2023-03-09,CO de Araucária,8250.0,9,3,2,3,1,2023,10923.0,8806.0,10734.667
2023-03-10,CO de Araucária,12501.0,10,4,2,3,1,2023,8250.0,10923.0,9326.333
2023-03-11,CO de Araucária,6088.0,11,5,2,3,1,2023,12501.0,8250.0,10558.0
