DATE,STOCK,CLOSE,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3
2009-12-11,BOVA11.SA,68.73,11,4,2,12,4,2009,68.25,67.3,67.58333333333333
2009-12-14,BOVA11.SA,69.0,14,0,2,12,4,2009,68.73,68.25,68.09333333333335
2009-12-15,BOVA11.SA,68.95,15,1,3,12,4,2009,69.0,68.73,68.66000000000001
2009-12-16,BOVA11.SA,68.2,16,2,3,12,4,2009,68.95,69.0,68.89333333333333
2009-12-17,BOVA11.SA,66.6,17,3,3,12,4,2009,68.2,68.95,68.71666666666665
2009-12-18,BOVA11.SA,66.5,18,4,3,12,4,2009,66.6,68.2,67.91666666666667
2009-12-21,BOVA11.SA,66.5,21,0,3,12,4,2009,66.5,66.6,67.10000000000001
2009-12-22,BOVA11.SA,67.0,22,1,4,12,4,2009,66.5,66.5,66.53333333333335
2009-12-23,BOVA11.SA,67.25,23,2,4,12,4,2009,67.0,66.5,66.66666666666667
2009-12-28,BOVA11.SA,67.9,28,0,4,12,4,2009,67.25,67.0,66.91666666666667
2009-12-29,BOVA11.SA,67.94,29,1,5,12,4,2009,67.9,67.25,67.38333333333333
2009-12-30,BOVA11.SA,68.5,30,2,5,12,4,2009,67.94,67.9,67.69666666666666
2010-01-04,BOVA11.SA,69.37,4,0,1,1,1,2010,68.5,67.94,68.11333333333333
2010-01-05,BOVA11.SA,69.9,5,1,1,1,1,2010,69.37,68.5,68.60333333333334
2010-01-06,BOVA11.SA,70.3,6,2,1,1,1,2010,69.9,69.37,69.25666666666667
2010-01-07,BOVA11.SA,70.0,7,3,1,1,1,2010,70.3,69.9,69.85666666666667
2010-01-08,BOVA11.SA,69.48,8,4,2,1,1,2010,70.0,70.3,70.06666666666666
2010-01-11,BOVA11.SA,69.99,11,0,2,1,1,2010,69.48,70.0,69.92666666666668
2010-01-12,BOVA11.SA,69.7,12,1,2,1,1,2010,69.99,69.48,69.82333333333334
2010-01-13,BOVA11.SA,70.0,13,2,2,1,1,2010,69.7,69.99,69.72333333333334
2010-01-14,BOVA11.SA,69.5,14,3,2,1,1,2010,70.0,69.7,69.89666666666666
2010-01-15,BOVA11.SA,68.5,15,4,3,1,1,2010,69.5,70.0,69.73333333333333
2010-01-18,BOVA11.SA,68.9,18,0,3,1,1,2010,68.5,69.5,69.33333333333333
2010-01-19,BOVA11.SA,68.12,19,1,3,1,1,2010,68.9,68.5,68.96666666666668
2010-01-20,BOVA11.SA,67.7,20,2,3,1,1,2010,68.12,68.9,68.50666666666667
2010-01-21,BOVA11.SA,65.9,21,3,3,1,1,2010,67.7,68.12,68.24000000000001
2010-01-22,BOVA11.SA,65.59,22,4,4,1,1,2010,65.9,67.7,67.24
2010-01-26,BOVA11.SA,64.98,26,1,4,1,1,2010,65.59,65.9,66.39666666666668
2010-01-27,BOVA11.SA,64.9,27,2,4,1,1,2010,64.98,65.59,65.49000000000001
2010-01-28,BOVA11.SA,65.2,28,3,4,1,1,2010,64.9,64.98,65.15666666666668
2010-01-29,BOVA11.SA,64.9,29,4,5,1,1,2010,65.2,64.9,65.02666666666667
2010-02-01,BOVA11.SA,66.05,1,0,1,2,1,2010,64.9,65.2,65.00000000000001
2010-02-02,BOVA11.SA,66.7,2,1,1,2,1,2010,66.05,64.9,65.38333333333334
2010-02-03,BOVA11.SA,66.59,3,2,1,2,1,2010,66.7,66.05,65.88333333333334
2010-02-04,BOVA11.SA,63.4,4,3,1,2,1,2010,66.59,66.7,66.44666666666667
2010-02-05,BOVA11.SA,62.0,5,4,1,2,1,2010,63.4,66.59,65.56333333333335
2010-02-08,BOVA11.SA,62.6,8,0,2,2,1,2010,62.0,63.4,63.99666666666667
2010-02-09,BOVA11.SA,64.09,9,1,2,2,1,2010,62.6,62.0,62.666666666666664
2010-02-10,BOVA11.SA,64.55,10,2,2,2,1,2010,64.09,62.6,62.89666666666667
