DATE,UNIDADE,QUANTIDADE
2023-02-01,CO de Araucária,15239.0
2023-02-01,CO de Barueri,11388.0
2023-02-01,CO de Belém,12184.0
2023-02-01,CO de Brasília,3848.0
2023-02-01,CO de Campo Grande,4795.0
2023-02-01,CO de Canoas,16134.0
2023-02-01,CO de Capuava,15366.0
2023-02-01,CO de Cascavel,3546.0
2023-02-01,CO de Cuiabá,4333.0
2023-02-01,CO de Duque de Caxias,18627.0
2023-02-01,CO de Fortaleza,17466.0
2023-02-01,CO de Goiânia,8194.0
2023-02-01,CO de Gurupi,2589.0
2023-02-01,CO de Ibirité,12992.0
2023-02-01,CO de Jardinópolis,8530.0
2023-02-01,CO de Mataripe,15661.0
2023-02-01,CO de Natal,8685.0
2023-02-01,CO de Passo Fundo,6917.0
2023-02-01,CO de Paulínia,11541.0
2023-02-01,CO de Pelotas,5091.0
2023-02-01,CO de Suape,15140.0
2023-02-01,CO de São José dos Campos,5529.0
2023-02-01,CO de São Luís,11246.0
2023-02-01,CO de Uberlândia,7191.0
2023-02-01,DAC de Aracaju,2713.0
2023-02-01,DAC de Barra de São Francisco,2476.0
2023-02-01,DAC de Bauru,2486.0
2023-02-01,DAC de Caxias do Sul,1908.0
2023-02-01,DAC de Governador Valadares,1016.0
2023-02-01,DAC de Itajaí,1852.0
2023-02-01,DAC de Itaobim,1829.0
2023-02-01,DAC de Jequié,3915.0
2023-02-01,DAC de Joinville,735.0
2023-02-01,DAC de João Pessoa,3205.0
2023-02-01,DAC de Juazeiro,1259.0
2023-02-01,DAC de Londrina,969.0
2023-02-01,DAC de Macapá,826.0
2023-02-01,DAC de Montes Claros,1708.0
2023-02-01,DAC de Mossoró,1470.0
2023-02-01,DAC de Ponta Grossa,973.0
2023-02-01,DAC de Rio Largo,2451.0
2023-02-01,DAC de Santa Maria,900.0
2023-02-01,DAC de Santos,1607.0
2023-02-01,DAC de Serra,2889.0
2023-02-01,DAC de Socorro,5795.0
2023-02-01,DAC de São José,1051.0
2023-02-01,DAC de São José do Rio Preto,3378.0
2023-02-01,DAC de Teresina,3393.0
2023-02-02,CO de Araucária,7703.0
2023-02-02,CO de Barueri,14925.0
2023-02-02,CO de Brasília,4520.0
2023-02-02,CO de Campo Grande,7755.0
2023-02-02,CO de Capuava,14611.0
2023-02-02,CO de Cascavel,5051.0
2023-02-02,CO de Cuiabá,8959.0
2023-02-02,CO de Duque de Caxias,19168.0
2023-02-02,CO de Fortaleza,17182.0
2023-02-02,CO de Goiânia,9730.0
2023-02-02,CO de Gurupi,4949.0
2023-02-02,CO de Ibirité,10433.0
2023-02-02,CO de Jardinópolis,9701.0
2023-02-02,CO de Mataripe,13573.0
2023-02-02,CO de Natal,10884.0
2023-02-02,CO de Passo Fundo,8303.0
2023-02-02,CO de Paulínia,13033.0
2023-02-02,CO de Suape,24346.0
2023-02-02,CO de São José dos Campos,5404.0
2023-02-02,CO de São Luís,12594.0
2023-02-02,CO de Uberlândia,4738.0
2023-02-02,DAC de Aracaju,2253.0
2023-02-02,DAC de Barra de São Francisco,2626.0
2023-02-02,DAC de Bauru,2714.0
2023-02-02,DAC de Caxias do Sul,961.0
2023-02-02,DAC de Governador Valadares,1729.0
2023-02-02,DAC de Itajaí,2705.0
2023-02-02,DAC de Itaobim,1378.0
2023-02-02,DAC de Jequié,4130.0
2023-02-02,DAC de Joinville,1337.0
2023-02-02,DAC de João Pessoa,5167.0
2023-02-02,DAC de Juazeiro,2192.0
2023-02-02,DAC de Londrina,599.0
2023-02-02,DAC de Macapá,577.0
2023-02-02,DAC de Montes Claros,1567.0
2023-02-02,DAC de Mossoró,739.0
2023-02-02,DAC de Ponta Grossa,1333.0
2023-02-02,DAC de Rio Largo,4480.0
2023-02-02,DAC de Santa Maria,2586.0
2023-02-02,DAC de Santos,3726.0
2023-02-02,DAC de Serra,2894.0
2023-02-02,DAC de Socorro,3625.0
2023-02-02,DAC de São José,1245.0
2023-02-02,DAC de São José do Rio Preto,1305.0
2023-02-02,DAC de Teresina,2793.0
2023-02-03,CO de Araucária,16499.0
2023-02-03,CO de Barueri,16507.0
2023-02-03,CO de Belém,19553.0
2023-02-03,CO de Brasília,6050.0
2023-02-03,CO de Campo Grande,7557.0
2023-02-03,CO de Canoas,23233.0
2023-02-03,CO de Capuava,15772.0
2023-02-03,CO de Cascavel,3042.0
2023-02-03,CO de Cuiabá,4856.0
2023-02-03,CO de Duque de Caxias,20405.0
2023-02-03,CO de Fortaleza,16148.0
2023-02-03,CO de Goiânia,7106.0
2023-02-03,CO de Gurupi,5389.0
2023-02-03,CO de Ibirité,13282.0
2023-02-03,CO de Jardinópolis,5294.0
2023-02-03,CO de Mataripe,13887.0
2023-02-03,CO de Natal,8116.0
2023-02-03,CO de Passo Fundo,6226.0
2023-02-03,CO de Paulínia,10931.0
2023-02-03,CO de Pelotas,2817.0
2023-02-03,CO de Suape,23195.0
2023-02-03,CO de São José dos Campos,6119.0
2023-02-03,CO de São Luís,9587.0
2023-02-03,CO de Uberlândia,7911.0
2023-02-03,DAC de Aracaju,2178.0
